Ref,Project name,Country,Date online,Decomission date,Status,Technology,Technology_details,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Announced Size,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,Capacity_t CO₂ captured/y,"IEA zero-carbon estimated normalized capacity
[Nm³ H₂/hour]",References,LOWE_CF
1296,NEL - Nikola Agreement H2 refuelling stations in USA (1st phase),USA,,,FID/Construction,ALK,,Other/unknown,,H2,,,,,,1.0,,,,,,,,,85MW,85.0,18478.260869565216,14.406391304347826,,18478.260869565216,[1062],0.57
1297,HYVALUE,ESP,2025.0,,Feasibility study,Biomass,Waste gasification,,,H2,,,,,1.0,1.0,,,,,,,,,1600 t H2/y,,2052.2292340054387,1.6,,2052.2292340054387,[1626],0.9
1299,"H2 Valcamonica, phase 1",ITA,2025.0,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,1.0,1.0,,,,,,,,,6MW,6.0,1333.3333333333335,1.03952,,1333.3333333333335,[1627],0.57
1302,PRIO ENERGY,PRT,,,Feasibility study,PEM,,Dedicated renewable,Solar PV,H2,,,,,1.0,1.0,,,,,,,,,140t H2/y,0.9337643014724746,179.5700579754759,0.14,,179.5700579754759,[1064],0.3
1311,Tokyo Sewage-to-H2 plant,JPN,2021.0,,Operational,Biomass,Waste gasification,,,H2,,,,,,1.0,,,,,,,,,40-50 kg H2/d,,21.06741573033708,0.016425,,21.06741573033708,[1070],0.9
1312,Inner Mongolia green hydrogen,CHN,2023.0,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,>465MW - 66.9 kt H2/y (production),,,,,0.0,[1071],0.5
1315,H2 Energy Europe Esbjerg green hydrogen,DNK,2025.0,,Feasibility study,PEM,,Dedicated renewable,Offshore wind,H2,,,,,1.0,1.0,,,,,,,,,1GW,1000.0,192307.6923076923,149.93076923076922,,192307.6923076923,[1249][1510],0.55
1338,H2Perth electrolysis - I,AUS,,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,Various,,1.0,,,,1.0,,,,,,,,,250MW,250.0,55555.55555555556,43.31333333333333,,55555.55555555556,[1093],0.57
1339,H2Perth electrolysis - II,AUS,,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,Various,,1.0,,,,1.0,,,,,,,,,3GW,2750.0,611111.1111111111,476.44666666666666,,611111.1111111111,[1093],0.57
1340,H2Perth NG with CCUS - I,AUS,2027.0,,Feasibility study,NG w CCUS,Unknown technology,,,Various,,1.0,,,,1.0,,,,,,,,,40TJ of natural gas/day,,,83.95,,0.0,[1093],0.9
1349,H2TAS - phase I,AUS,2025.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,350 MW,350.0,77777.77777777778,60.63866666666667,,77777.77777777778,[1106] [1680],0.5
1350,H2TAS - phase II,AUS,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,750MW,400.0,88888.88888888889,69.30133333333333,,88888.88888888889,[1106] [1680],0.5
1352,Axpo Brugg,CHE,2024.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,15 MW,15.0,3333.3333333333335,2.5988,,3333.3333333333335,[1571],0.5
1353,H2 Green - Shoreham port - phase I,GBR,2024.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Various,,1.0,,,,1.0,,,,,,,,,20 MW,20.0,4444.444444444444,3.4650666666666665,,4444.444444444444,[1572],0.5
1354,H2 Green - Shoreham port - phase II,GBR,2029.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Various,,1.0,,,,1.0,,,,,,,,,15 t H2/d production,63.202247191011224,14044.943820224718,10.95,,14044.943820224718,[1572],0.5
1355,Port of Gothenburg - Statkraft,SWE,2023.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,4MW,4.0,888.8888888888889,0.6930133333333334,,888.8888888888889,[1109],0.5
1365,Green Fuel Iceland - phase I,ISL,2026.0,,Feasibility study,ALK,,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,30MW,30.0,6521.739130434783,5.084608695652173,,6521.739130434783,[1573],0.5
1366,Green Fuel Iceland - phase II,ISL,2026.0,,Feasibility study,ALK,,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,100MW,70.0,15217.391304347826,11.864086956521739,,15217.391304347826,[1573],0.5
1371,"Sun Metals Zinc Refinery, phase II",AUS,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,150MW,149.0,33111.11111111112,25.814746666666668,,33111.11111111112,,0.5
1386,Steinbeis Innovation Center Braunschweig,DEU,2023.0,,DEMO,Other Electrolysis,AEM,Grid,,H2,,,,,,1.0,,,,,,,,,1MW,1.0,222.22222222222223,0.17325333333333334,,222.22222222222223,[1134][1731],0.57
1387,"Aberdeen Hydrogen Hub, phase II",GBR,2025.0,,FID/Construction,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,1.0,,1.0,,,,,1000 kg H2/day,1.2640449438202244,280.89887640449433,0.219,,280.89887640449433,"[644][979],  Platts European Gas Daily 27-10-2021",0.57
1389,"Plug Power - Fresno County, California",USA,2024.0,,FID/Construction,PEM,,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,80MW,80.0,15384.615384615385,11.994461538461538,,15384.615384615385,[1137][2086],0.3
1395,H2PiyR Pamiers,FRA,2021.0,,Operational,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,,,,,,0.0,[1143],0.57
1401,AuxHYGen (Phase 2),FRA,2025.0,,Feasibility study,ALK,,Grid,,H2,,,,,,1.0,,,,,,,,,3MW,2.0,434.7826086956522,0.33897391304347824,,434.7826086956522,[570],0.57
1402,Port of Auckland HRS,NZL,2022.0,,DEMO,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,450 kg H2/d,0.9480337078651684,210.67415730337078,0.16425,,210.67415730337078,[1150],0.57
1403,Budweiser - Protium Wales brewery,GBR,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1.0,1.0,,,,,,,,,,,,,,0.0,[1151],0.5
1411,Doosan Changwon City,KOR,2024.0,,FID/Construction,NG w CCUS,Unknown Technology,,,H2,,,,,,1.0,,,,,,,,,5t H2/d - 48t CO2/d,,2340.8239700374534,1.825,17520.0,2196.595277320154,[1160],0.9
1420,"Arrowsmith Hydrogen Project, phase 2",AUS,,,Feasibility study,ALK,,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,42t H2/d - 45 MW,45.0,9782.608695652174,7.626913043478261,,9782.608695652174,[497][1035][1169][1170][1728],0.5
