Ref,Project name,Country,Date online,Decomission date,Status,Technology,Technology_details,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Announced Size,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,Capacity_t CO₂ captured/y,"IEA zero-carbon estimated normalized capacity
[Nm³ H₂/hour]",References,LOWE_CF
1938,Vallée Hydrogène Grand Ouest (VHyGO) - H2 Ouest (Phase 2),FRA,2024.0,,FID/Construction,ALK,,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,2.5MW,1.75,380.4347826086957,0.29660217391304344,,380.4347826086957,[1643],0.5
1942,Azolla Hydrogen - Cal State demonstration,USA,2023.0,,DEMO,Biomass,Biomethanol steam reforming,,,H2,,,,,,1.0,,,,,,,,,225 kg H2/d,,105.33707865168539,0.082125,,105.33707865168539,[1648],0.9
1943,"H2 Green City, phase 1",ESP,2024.0,,FID/Construction,PEM,,Dedicated renewable,Solar PV,H2,,,,,1.0,1.0,,,,,,,,,1MW,1.0,192.30769230769232,0.14993076923076926,,192.30769230769232,[1649],0.3
1944,"H2 Green City, phase 2",ESP,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,1.0,1.0,,1.0,,1.0,,,,,50MW,49.0,10888.88888888889,8.489413333333333,,10888.88888888889,[1649],0.3
1964,Shengyuan Energy wind-solar hydrogen production and station project,CHN,2024.0,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,5445 t H2/y,31.42796675388641,6983.992611974758,5.445,,6983.992611974758,[1830],0.5
1969,Trafford Low Carbon Energy Park  - phase 2,GBR,2027.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,200MW,180.0,40000.0,31.1856,,40000.0,[1561][1562],0.5
1971,NTPC Green Hydrogen Mobility Project - Delhi,IND,2023.0,,FID/Construction,ALK,,Grid+Renewables,Unknown,H2,,,,,,1.0,,,,,,,,,1.6 MW,1.6,347.82608695652175,0.2711791304347826,,347.82608695652175,,0.7
1974,Prince George HRS,CAN,2024.0,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Hydropower,H2,,,,,,1.0,,,,,,,,,2 x 5MW,10.0,2222.222222222222,1.7325333333333333,,2222.222222222222,[1691] [1692],0.8
1975,Flins Plant - HYVIA,FRA,2024.0,,FID/Construction,PEM,,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,1MW,1.0,192.30769230769232,0.14993076923076926,,192.30769230769232,[1697],0.57
1981,H2Stroom,NLD,,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,Unknown,H2,,,,,,1.0,,,,,,,,,,0.0,,,,0.0,[1662],0.57
1986,Constellation - Nine Mile Point Nuclear Plant,USA,2023.0,,Operational,PEM,,Nuclear,,H2,,,,,1.0,1.0,,,,,,,,,1 MW,1.0,192.30769230769232,0.14993076923076926,,192.30769230769232,[1706],0.8
1996,"Cepsa San Roque Energy Park (Algeciras) - Andalucian Green Hydrogen Valley
Carteia Project",ESP,2029.0,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,Unknown,Various,1.0,1.0,,,,1.0,,,,,,1.0,,,1GW,1000.0,222222.22222222225,173.25333333333333,,222222.22222222225,[1717] [1764],0.57
1997,"Cepsa La Rábida Energy Park (Huelva) - phase 1 - Andalucian Green Hydrogen Valley
Onuba Project",ESP,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid+Renewables,Solar PV,Various,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,600MW,600.0,133333.33333333334,103.952,,133333.33333333334,[1718],0.7
2004,Hellenic Hydrogen in  Western Macedonia,GRC,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,1.0,,,,,,,,100MW,100.0,22222.222222222223,17.325333333333333,,22222.222222222223,[1724],0.5
2006,"H2 Valcamonica, phase 2",ITA,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,1.0,1.0,,,,,,,,,21MW,15.0,3333.3333333333335,2.5988,,3333.3333333333335,[1627],0.57
2007,MEG HP1,AUS,2024.0,,FID/Construction,PEM,,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,10MW - 4.6 million litres synthetic kerosene per year,10.0,1923.076923076923,1.4993076923076922,,1923.076923076923,[1728],0.3
2010,Valle Peligna Green Hydrogen Project,ITA,2025.0,,Feasibility study,PEM,,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,25MW,25.0,4807.692307692308,3.7482692307692305,,4807.692307692308,[1728],0.5
2017,Plug Power Porvoo plant,FIN,2030.0,,Feasibility study,PEM,,Grid,,H2,,,,,,1.0,,,,,,,,,200MW,200.0,38461.53846153846,29.986153846153844,,38461.53846153846,[1732],0.57
2020,AIRA H2,ESP,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,1.0,1.0,,,,,,,,,10MW,10.0,2222.222222222222,1.7325333333333333,,2222.222222222222,[1736],0.5
2021,H2BCNHUB,ESP,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,20MW,20.0,4444.444444444444,3.4650666666666665,,4444.444444444444,[1733],0.5
2024,"H2 PILLAR, phase 1",ESP,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,15MW,15.0,3333.3333333333335,2.5988,,3333.3333333333335,[1735],0.5
2025,"H2 PILLAR, phase 2",ESP,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,60MW,45.0,10000.0,7.7964,,10000.0,[1735],0.5
2028,Energie Steiermark plant in Styria,AUT,2023.0,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,1.0,1.0,,,,,,,,,1MW,1.0,222.22222222222223,0.17325333333333334,,222.22222222222223,[1739],0.3
2032,Greenb2e - Valencia,ESP,2028.0,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,1.0,1.0,,,,,,,,,13-15 kt H2/y,80.80652608896413,17957.005797547587,14.0,,17957.005797547587,[1743],0.57
2048,Adelaida project,CHL,2024.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,"3MW or 1,000kg H2 /d ",3.0,666.6666666666667,0.51976,,666.6666666666667,[1756],0.3
2049,H2 plant Wilbarger County,USA,2027.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,200t H2/day production,842.6966292134831,187265.91760299625,146.0,,187265.91760299625,[1757],0.5
2051,Bristol Springs Solar Hydrogen Project,AUS,2025.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,1.0,1.0,,1.0,,,,,36 MW,36.0,8000.000000000001,6.23712,,8000.000000000001,[1759],0.3
2056,"Cepsa La Rábida Energy Park (Huelva - phase 2 - Andalucian Green Hydrogen Valley
Onuba Project",ESP,2030.0,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,Unknown,Various,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,1GW,400.0,88888.88888888889,69.30133333333333,,88888.88888888889,[1718],0.57
2063,H2HubNS,POL,2024.0,,FID/Construction,PEM,,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,5MW,5.0,961.5384615384615,0.7496538461538461,,961.5384615384615,[1777],0.57
2105,Hy2B plant in Pfeffenhausen,DEU,2023.0,,FID/Construction,ALK,,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,5MWor 1.2t H2/d (production),5.0,1086.9565217391305,0.8474347826086956,,1086.9565217391305,[1813],0.3
2112,NWTN - CMEC Middle East green hydrogen plant,ARE,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,20MW,20.0,4444.444444444444,3.4650666666666665,,4444.444444444444,[1819],0.5
2114,Trecwn Green Energy Hub ,GBR,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,15MW,15.0,3333.3333333333335,2.5988,,3333.3333333333335,[1822][1949],0.5
2116,Julio Verne project,ESP,2024.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,1.4MW,1.4,311.11111111111114,0.2425546666666667,,311.11111111111114,[1823],0.5
2126,Jingneng Chagannur Wind Poer Hydrogen Production Project,CHN,2023.0,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,384 t H2/y,2.216407572725873,492.53501616130524,0.384,,492.53501616130524,[1830],0.4
2145,Electus Energy - Bakersfield,USA,2025.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,75MW,75.0,16666.666666666668,12.994,,16666.666666666668,[1845],0.3
2151,"Meirama, phase 1",ESP,2026.0,,Feasibility study,ALK,,Grid+Renewables,Onshore wind,H2,1.0,,,,,1.0,,1.0,,,,,,,30MW,30.0,6521.739130434783,5.084608695652173,,6521.739130434783,[1848],0.7
2153,First Hydrogen - Shawinigan,CAN,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,50MW,50.0,11111.111111111111,8.662666666666667,,11111.111111111111,[1848],0.5
2165,Rosedale Green Hydrogen project,AUS,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,560MW,560.0,124444.44444444445,97.02186666666667,,124444.44444444445,[1860],0.3
2177,"Borna Hydrogen Plant, phase 2",DEU,2030.0,,Concept,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,1.0,1.0,,,,,,,,,1GW,900.0,200000.00000000003,155.928,,200000.00000000003,[1870],0.57
2184,Ground Investment Corp (GIC) - green hydrogen project,ROU,,,Feasibility study,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,10MW,10.0,1923.076923076923,1.4993076923076922,,1923.076923076923,[1877],0.4
2194,GreenGo Tarm plant,DNK,2030.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,1.0,1.0,,1.0,1.0,,,,,,,,,2GW,2000.0,444444.4444444445,346.50666666666666,,444444.4444444445,[1887],0.5
2195,Element Resources - Lancaster,USA,2025.0,,Concept,ALK,,Other/Unknown,,H2,,,,,1.0,1.0,,,,,,,,,135MW,135.0,29347.826086956524,22.88073913043478,,29347.826086956524,[1888],0.57
2221,"Chubu Electric Power - Chiyoda - Hazer, phase 1",JPN,2030.0,,Concept,Other,Methane pyrolysis,,,H2,,,,,1.0,1.0,1.0,,,,,,,,2.5-10 kt H2/y,,8016.520445333745,6.25,,8016.520445333745,[1910],0.9
2222,"Chubu Electric Power - Chiyoda - Hazer, phase 2",JPN,,,Concept,Other,Methane pyrolysis,,,H2,,,,,1.0,1.0,1.0,,,,,,,,50-100 kt H2/y,,96198.24534400493,75.0,,96198.24534400493,[1910],0.9
2242,Hydrogen for self-sufficiency,CAN,2025.0,,Concept,Other Electrolysis,AEM,Other/Unknown,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,2MW,2.0,444.44444444444446,0.3465066666666667,,444.44444444444446,[1928],0.57
2243,H2 production for a H2 Fuell station ,NLD,2023.0,,FID/Construction,Other Electrolysis,AEM,Other/Unknown,Unknown,H2,,,,,,1.0,,,,,,,,,1MW,1.0,222.22222222222223,0.17325333333333334,,222.22222222222223,[1929],0.57
2244,Hydrogen for fuel cell testing and heat recovery,DEU,2023.0,,FID/Construction,Other Electrolysis,AEM,Other/Unknown,Solar PV,H2,,,,,,1.0,,,,,,,,,1MW,1.0,222.22222222222223,0.17325333333333334,,222.22222222222223,[1930],0.57
2246,"Repsol Tarragona, phase 1",ESP,2026.0,,Feasibility study,ALK,,Grid,,H2,1.0,,1.0,,,1.0,,1.0,,,,,,,150MW,150.0,32608.695652173912,25.42304347826087,,32608.695652173912,[1932],0.57
2279,Mercury Renewables H2 Project,IRL,,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,80MW,80.0,17777.777777777777,13.860266666666666,,17777.777777777777,[1960],0.4
2288,Three Gorges Corp.'s Inner Mongolia project ,CHN,2023.0,,Operational,ALK,,Dedicated renewable,Solar PV,H2,,,,,1.0,1.0,,,,,,,,,10 kt H2/y production - 15x1000 Nm3/h units,69.0,15000.0,11.6946,,15000.0,[1969] [1989],0.3
2294,Terranova Hydrogen,BEL,2025.0,,FID/Construction,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,2.5MW,2.5,555.5555555555555,0.4331333333333333,,555.5555555555555,Belgium Hydrogen Council,0.57
2296,Denain - Phase I,FRA,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1.0,,,,,,,,,2.5MW,2.5,555.5555555555555,0.4331333333333333,,555.5555555555555,,0.57
2299,Alp’Hyne,FRA,2025.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1.0,,,,,,,,,2MW,2.0,444.44444444444446,0.3465066666666667,,444.44444444444446,,0.57
2300,H2BYCOL,FRA,2025.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1.0,,,,,,,,,1MW,1.0,222.22222222222223,0.17325333333333334,,222.22222222222223,,0.57
2304,"Globeleq green hydrogen project, completion",EGY,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,1.0,,,,1.0,,,,,,,,,3.6GW,3500.0,777777.7777777779,606.3866666666668,,777777.7777777779,[1981],0.5
2309,Hynamics Dunkirk,FRA,2024.0,,FID/Construction,ALK,,Grid,,H2,,,,,,1.0,,,,,,,,,1MW,1.0,217.3913043478261,0.16948695652173912,,217.3913043478261,Data from EDF,0.57
2310,Hynamics Martres-Tolosane,FRA,2025.0,,Feasibility study,ALK,,Grid,,H2,,,,,,1.0,,,,,,,,,2MW,2.0,434.7826086956522,0.33897391304347824,,434.7826086956522,Data from EDF,0.57
2311,Vitry H2,FRA,2025.0,,Feasibility study,ALK,,Grid,,H2,,,,,,1.0,,,,,,,,,2MW,2.0,434.7826086956522,0.33897391304347824,,434.7826086956522,Data from EDF,0.57
2312,Hynamics LH2,FRA,2025.0,,Feasibility study,ALK,,Grid,,H2,,,,,,1.0,,,,,,,,,2MW,2.0,434.7826086956522,0.33897391304347824,,434.7826086956522,Data from EDF,0.57
2313,Hynamics VSGP,FRA,2025.0,,Feasibility study,ALK,,Grid,,H2,,,,,,1.0,,,,,,,,,2MW,2.0,434.7826086956522,0.33897391304347824,,434.7826086956522,Data from EDF,0.57
2314,Hynamics Cannes,FRA,2025.0,,Feasibility study,ALK,,Grid,,H2,,,,,,1.0,,,,,,,,,2MW,2.0,434.7826086956522,0.33897391304347824,,434.7826086956522,Data from EDF,0.57
2317,Holyhead Hub,GBR,2026.0,,Feasibility study,ALK,,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,5-7.5MW,5.0,1086.9565217391305,0.8474347826086956,,1086.9565217391305,[1984],0.5
2327,IdrogeMO,ITA,2026.0,,FID/Construction,ALK,,Dedicated renewable,Solar PV,H2,,,,,,1.0,1.0,,,,,,,,2.5MW,2.5,543.4782608695652,0.4237173913043478,,543.4782608695652,Data from Snam,0.3
2328,H2@Hydro,DEU,2026.0,,Concept,PEM,,Dedicated renewable,Hydropower,H2,,,,,,1.0,1.0,,,,,,,,50MW,50.0,9615.384615384615,7.496538461538461,,9615.384615384615,Data from RWE,0.8
2338,"Blue but better (ALB) (Canada Net-zero Hydrogen Energy Complex), phase 1",CAN,,,Feasibility study,NG w CCUS,ATR+CCUS,,,H2,1.0,,,,1.0,1.0,1.0,,,,,,,,1500t H2/d - 3 Mt CO2/y,,487564.77348519827,380.125,3000000.0,376129.3283082455,[947][1993],0.9
2339,Biomethane and hydrogen production from biomass,COL,,,FID/Construction,Biomass w CCUS,,,,Various,,,,,1.0,1.0,,1.0,,,,,,,47 Nm3H2/h,,47.0,,,47.0,Colombian Hydrogen Association,0.9
2342,Deuterium,COL,2025.0,,FID/Construction,ALK,,Dedicated renewable,Hydropower,Various,,1.0,,,,1.0,1.0,,,,,,,,5 MW,5.0,1086.9565217391305,0.8474347826086956,,1086.9565217391305,Colombian Hydrogen Association,0.8
2347,HRS hydrogen refueling station,COL,2026.0,,Concept,PEM,,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,2 MW,2.0,384.61538461538464,0.2998615384615385,,384.61538461538464,Colombian Hydrogen Association,0.3
2351,Optimization of a multifluid system for parallel generation and sale of electricity and green hydrogen and associated services for industrial customers ,COL,2024.0,,Feasibility study,PEM,,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,"1,2 MW",1.2,230.76923076923077,0.17991692307692306,,230.76923076923077,Colombian Hydrogen Association,0.3
2353,SITP Hydrogen Bus,COL,2023.0,,Operational,PEM,,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,165 kW,0.165,31.730769230769234,0.024738576923076922,,31.730769230769234,Colombian Hydrogen Association,0.3
2354,Cerro Dominador - H2 CSP +PV project,CHL,2024.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,1.0,1.0,,,,,,,,,6MW,6.0,1333.3333333333335,1.03952,,1333.3333333333335,[1992],0.3
2355,H2 Solar Project,CHL,2024.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,48 t H2/y production,0.9235031553024473,205.22292340054386,0.16,,205.22292340054386,[1992],0.3
2356,HYDRA project,CHL,,,Concept,Other Electrolysis,Unknown PtX,Grid+Renewables,Solar PV,H2,,,,,,1.0,,,,,,,,,1 t H2/d production,902.8892455858748,200642.05457463887,156.42857142857144,,200642.05457463887,[1992],0.7
2357,UCSC project,CHL,2023.0,,FID/Construction,Other Electrolysis,Unknown PtX,Grid+Renewables,Others/Various,H2,,,,,,1.0,1.0,,,,,,,,25kW,0.025,5.555555555555556,0.004331333333333334,,5.555555555555556,[1992],0.7
2358,Cabeza de Mar,CHL,2027.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,Ammonia,,1.0,,,1.0,1.0,,,,,,,,,750 kt NH3/y production,1948.7939858104237,433065.33018009417,337.6350540216086,,433065.33018009417,[1992],0.4
2359,Tango project,CHL,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid+Renewables,Others/Various,Ammonia,,1.0,,,1.0,1.0,,,,,,,,,172 kt NH3/y production,255.38481185477556,56752.180412172354,44.24626993654605,,56752.180412172354,[1992],0.7
2361,Hydrogen train,CHL,2024.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,,0.0,,,,0.0,[1995],0.5
2368,Hellisheidi ON Power ely,ISL,2018.0,,Operational,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,0.7MW,0.7,155.55555555555557,0.12127733333333335,,155.55555555555557,,0.57
2370,Strandmollen Ljungby,SWE,2023.0,,FID/Construction,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,3MW,3.0,666.6666666666667,0.51976,,666.6666666666667,[2000],0.57
2371,Wasserstoffproduktion Ostschweiz AG,CHE,2022.0,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,2 MW,2.0,444.44444444444446,0.3465066666666667,,444.44444444444446,[2001],0.5
2376,Hydrogen for heavy duty transport,COL,2027.0,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,40 MW,40.0,8888.888888888889,6.930133333333333,,8888.888888888889,Colombian Hydrogen Association,0.57
2377,Green Hydrogen,COL,2026.0,,Concept,Other,Not defined,,,H2,,,,,,1.0,,,,,,,,,7607 Nm3/h,,7607.0,5.930721480000001,,7607.0,Colombian Hydrogen Association,0.9
2378,Green hydrogen for national industry and derivatives for export,COL,2040.0,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,Various,,,,,,1.0,,,,,,,,,2300 MW,2300.0,511111.1111111111,398.48266666666666,,511111.1111111111,Colombian Hydrogen Association,0.57
2380,H2V Vigneux (Phase 2),FRA,2029.0,,Concept,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1.0,,,,,,,,,200MW,100.0,22222.222222222223,17.325333333333333,,22222.222222222223,[1318],0.57
2386,Dijon Métropole Smart EnergHy (DMSE) - Station 2,FRA,2027.0,,FID/Construction,ALK,,Grid,,H2,,,,,,1.0,,,,,,,,,2 MW,2.0,434.7826086956522,0.33897391304347824,,434.7826086956522,[2005],0.57
2387,NFC Belfort (Phase 2),FRA,2025.0,,FID/Construction,ALK,,Grid,,H2,,,,,,1.0,,,,,,,,,2MW,1.0,217.3913043478261,0.16948695652173912,,217.3913043478261,[1223],0.57
2388,H2V Saint-clair-du-rhône,FRA,2029.0,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,1.0,1.0,,,,,,,,,200MW,200.0,44444.444444444445,34.650666666666666,,44444.444444444445,[2007],0.57
2389,EcoH2 Breizh1,FRA,2026.0,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,1.0,1.0,,,,,,,,,10MW,10.0,2222.222222222222,1.7325333333333333,,2222.222222222222,[2008],0.57
2390,EcoH2 Breizh2,FRA,2026.0,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,1.0,1.0,,,,,,,,,10MW,10.0,2222.222222222222,1.7325333333333333,,2222.222222222222,[2009],0.57
2391,HyCOR,FRA,2025.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1.0,,,,,,,,,20MW,20.0,4444.444444444444,3.4650666666666665,,4444.444444444444,[2010],0.57
2392,DépHy2A Ajaccio,FRA,2025.0,,Concept,Other Electrolysis,Unknown PtX,Grid+Renewables,Solar PV,H2,,,,,,1.0,,1.0,,1.0,,,,,5MW,5.0,1111.111111111111,0.8662666666666666,,1111.111111111111,[2011],0.7
2393,DépHy2B Bastia,FRA,2025.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,1.0,,1.0,,,,,5MW,5.0,1111.111111111111,0.8662666666666666,,1111.111111111111,[2012],0.3
2394,Vhya Lorraine,FRA,2026.0,,Concept,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,1.0,1.0,,,,,,,,,9MW,9.0,2000.0000000000002,1.55928,,2000.0000000000002,[2013],0.57
2395,H2V Thionville P1,FRA,2028.0,,Concept,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1.0,,,,,,,,,200MW,200.0,44444.444444444445,34.650666666666666,,44444.444444444445,[2014],0.57
2396,H2V Thionville P2,FRA,2030.0,,Concept,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1.0,,,,,,,,,400MW,200.0,44444.444444444445,34.650666666666666,,44444.444444444445,[2014],0.57
2401,HyVENCE,FRA,2025.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,1.0,1.0,,,,,,,,,60MW,60.0,13333.333333333334,10.3952,,13333.333333333334,[2018],0.3
2403,Zero Emission Valley (ZEV) - Bourgoin-Jallieu,FRA,2024.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1.0,,,,,,,,,1 MW,1.0,222.22222222222223,0.17325333333333334,,222.22222222222223,[2020],0.57
2404,Zero Emission Valley (ZEV) - Grenoble,FRA,2024.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1.0,,,,,,,,,1 MW,1.0,222.22222222222223,0.17325333333333334,,222.22222222222223,[2020],0.57
2405,H24FP Paris P1,FRA,2024.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1.0,,,,,,,,,,0.0,,,,0.0,[2021],0.57
2406,H24FP Paris P2,FRA,2024.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1.0,,,,,,,,,,0.0,,,,0.0,[2021],0.57
2407,eM-Lacq,FRA,2028.0,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,Unknown,MeOH,,,1.0,,1.0,1.0,,,,,,,,,210 MW,210.0,46666.66666666667,36.38320000000001,,46666.66666666667,[2022],0.57
2408,H2 Bordeaux,FRA,2027.0,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,Unknown,H2,,,,,,1.0,,,,,,,,,3000 t H2/y production,30.378393266527873,6750.754059228417,5.2631578947368425,,6750.754059228417,[2023],0.57
2409,BioTJet,FRA,2028.0,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,Unknown,H2,,,,,,1.0,,,,,,1.0,,,250 MW,250.0,55555.55555555556,43.31333333333333,,55555.55555555556,[2024],0.57
2412,Solid Oxide Electrolysis System Demonstration,USA,2020.0,,DEMO,SOEC,,Nuclear,,H2,,,,,,1.0,,,,,,,,,0.25MW,0.25,65.78947368421052,0.051292105263157896,,65.78947368421052,[2030],0.8
2413,Zillertalbahn 2020+ energy autonomous,AUT,2024.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1.0,,,,,,,,,6MW,6.0,1333.3333333333335,1.03952,,1333.3333333333335,[2031] [2032] [2033],0.57
2414,"TIWAG Power2X (Phase 2) (within ""Power2X Kufstein"")",AUT,2025.0,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,Hydropower,H2,,,,,,1.0,,,,1.0,,,,,4 MW,3.0,666.6666666666667,0.51976,,666.6666666666667,[2031] [2034],0.57
2417,"TIWAG Power2X (Phase 1) (within ""Power2X Kufstein"")",AUT,2025.0,,Concept,PEM,,Other/Unknown,Hydropower,H2,,,,,,1.0,,,,1.0,,,,,1 MW,1.0,192.30769230769232,0.14993076923076926,,192.30769230769232,[2031] [2034],0.57
2419,"Mobility of the Future (within ""Innovation Liquid Energy"")",AUT,2024.0,,Concept,SOEC,,Grid,,H2,,,,,,1.0,,,,,,,,,1 MW,1.0,263.1578947368421,0.20516842105263158,,263.1578947368421,[2040] [2041] [2042],0.57
2420,HySnowGroomer (within HyWest),AUT,2017.0,,Operational,ALK,,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,0.35MW,0.35,76.08695652173913,0.0593204347826087,,76.08695652173913,[2043],0.3
2427,Green NortH2 Energy,FIN,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,1.0,1.0,,,,,,,,,100MW,100.0,22222.222222222223,17.325333333333333,,22222.222222222223,[2051],0.57
2428,Lappeenranta e-Methanol,FIN,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,MeOH,,,1.0,,,1.0,,,,,,,,,17 MW or 25kt MeOH/y,17.0,3777.7777777777783,2.9453066666666663,,3777.7777777777783,[2052] [2055],0.57
